id,name,price_toman,link,date
17986495,گوشی موبایل اپل مدل iPhone 16 CH دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت,919700000,https://www.digikala.com/product/dkp-17986495/گوشی-موبایل-اپل-مدل-iphone-16-ch-دو-سیم-کارت-ظرفیت-128-گیگابایت-و-رم-8-گیگابایت,2025-07-22
19488116,گوشی موبایل اپل مدل iPhone 16 ZAA دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت,957000000,https://www.digikala.com/product/dkp-19488116/گوشی-موبایل-اپل-مدل-iphone-16-zaa-دو-سیم-کارت-ظرفیت-128-گیگابایت-و-رم-8-گیگابایت,2025-07-22
19234933,کاور موفی مدل iPhone16_MAGG1 مناسب برای گوشی موبایل اپل iPhone 16 ,3280000,https://www.digikala.com/product/dkp-19234933/کاور-موفی-مدل-iphone16-magg1-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
17857368,محافظ صفحه نمایش سامورایی مدل Glass Max مناسب برای گوشی موبایل اپل iPhone 16,1120000,https://www.digikala.com/product/dkp-17857368/محافظ-صفحه-نمایش-شیشه-ای-سامورایی-مدل-max-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
18455397,محافظ صفحه نمایش شیشه ای سامورایی مدل ovglass مناسب برای گوشی موبایل اپل iPhone 16 ,1280000,https://www.digikala.com/product/dkp-18455397/محافظ-صفحه-نمایش-شیشه-ای-سامورایی-مدل-ovglass-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
17986522,گوشی موبایل اپل مدل iPhone 16 Pro ZAA دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت,1364900000,https://www.digikala.com/product/dkp-17986522/گوشی-موبایل-اپل-مدل-iphone-16-pro-zaa-دو-سیم-کارت-ظرفیت-256-گیگابایت-و-رم-8-گیگابایت,2025-07-22
17874416,کاور موفی مدل IPhone16_HMG02 مناسب برای گوشی موبایل اپل iPhone 16,3375000,https://www.digikala.com/product/dkp-17874416/کاور-موفی-مدل-iphone16-hmg02-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
16824070,محافظ صفحه نمایش جانبو مدل Vivanewpkg مناسب برای گوشی موبایل اپل iPhone 16,897600,https://www.digikala.com/product/dkp-16824070/محافظ-صفحه-نمایش-جانبو-مدل-vivanewpkg-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
16810039,کاور مدل SILICONE ORG مناسب برای گوشی موبایل اپل iphone 16,1500000,https://www.digikala.com/product/dkp-16810039/کاور-مدل-silicone-org-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
17873798,کاور موفی مدل --IPhone16_CASEP04 مناسب برای گوشی موبایل اپل iPhone 16,1700000,https://www.digikala.com/product/dkp-17873798/کاور-موفی-مدل-iphone16-casep04-مناسب-برای-گوشی-موبایل-اپل-iphone-16,2025-07-22
